Title,Genre,Release Year,Duration,Director,Actors,Country,Language,IMDb Rating,Number of Ratings,Prime Exclusive,Viewership Count,Subscription Type,Content Type,Added to Prime Date,Last Watched Date,Watch Time (minutes),User ID,Watch Location,Subscription Renewal Date,Viewership Visuals
Title 1,Action,1993,115,Director 1,"Actor 1, Actor 2, Actor 3",USA,Hindi,9.0,591096,True,9232019,Basic,TV Show,2021-03-22 11:45:47.000030,2024-04-30 11:45:47.150956,34,User_1,"Canada, Japan",2025-03-06 11:45:47.257810,Evergreen
Title 2,Action,2006,103,Director 2,"Actor 1, Actor 2, Actor 3",Canada,Korean,1.2,157286,False,5544,Basic,Movie,2024-04-07 11:45:47.006076,2024-01-06 11:45:47.150956,112,User_2,"India, France",2025-08-18 11:45:47.257810,Low Viewership
Title 3,Horror,1990,140,Director 3,"Actor 1, Actor 2, Actor 3",India,Spanish,5.4,824256,True,4689874,Premium,TV Show,2023-12-28 11:45:47.006076,2023-10-13 11:45:47.150956,162,User_3,"Canada, Germany",2025-02-18 11:45:47.257810,Trending
Title 4,Sci-Fi,1997,128,Director 4,"Actor 1, Actor 2, Actor 3",Japan,Japanese,4.0,418152,False,802521,Basic,TV Show,2020-10-25 11:45:47.006076,2024-05-16 11:45:47.150956,289,User_4,"Japan, Japan",2025-04-19 11:45:47.257810,High Viewership
Title 5,Sci-Fi,1953,129,Director 5,"Actor 1, Actor 2, Actor 3",Canada,German,3.6,906925,False,3802086,Basic,TV Show,2022-05-28 11:45:47.006076,2024-06-02 11:45:47.150956,193,User_5,"France, USA",2024-12-22 11:45:47.257810,Trending
Title 6,Comedy,2004,106,Director 6,"Actor 1, Actor 2, Actor 3",France,English,7.9,988375,False,7547835,Basic,TV Show,2022-09-08 11:45:47.007203,2024-06-11 11:45:47.150956,195,User_6,"Australia, UK",2025-05-31 11:45:47.257810,Evergreen
Title 7,Horror,1979,153,Director 7,"Actor 1, Actor 2, Actor 3",Canada,French,6.9,725097,False,7502452,Basic,Movie,2020-11-21 11:45:47.007203,2024-08-17 11:45:47.151953,37,User_7,"Canada, France",2025-04-22 11:45:47.258950,Evergreen
Title 8,Thriller,2023,180,Director 8,"Actor 1, Actor 2, Actor 3",Canada,Japanese,3.6,26189,False,3605143,Premium,Movie,2021-08-22 11:45:47.007203,2024-03-31 11:45:47.151953,143,User_8,"France, France",2024-11-19 11:45:47.258950,Trending
Title 9,Documentary,1988,106,Director 9,"Actor 1, Actor 2, Actor 3",Canada,Korean,7.1,374654,True,3658950,Basic,TV Show,2023-03-10 11:45:47.007203,2023-10-13 11:45:47.151953,214,User_9,"India, Canada",2025-08-28 11:45:47.258950,Trending
Title 10,Horror,1979,62,Director 10,"Actor 1, Actor 2, Actor 3",France,Hindi,5.8,732929,False,4797889,Premium,Movie,2022-06-19 11:45:47.007203,2024-07-13 11:45:47.151953,8,User_10,"USA, Germany",2024-09-29 11:45:47.258950,Trending
Title 11,Comedy,1999,119,Director 11,"Actor 1, Actor 2, Actor 3",USA,French,1.5,913797,True,6010522,Premium,Movie,2019-10-04 11:45:47.007203,2024-01-30 11:45:47.151953,245,User_11,"France, Japan",2025-01-30 11:45:47.258950,Evergreen
Title 12,Thriller,1974,138,Director 12,"Actor 1, Actor 2, Actor 3",USA,Mandarin,6.8,570230,True,4412837,Premium,Movie,2022-02-10 11:45:47.008203,2024-05-09 11:45:47.151953,5,User_12,"Canada, France",2025-02-24 11:45:47.258950,Trending
Title 13,Horror,1979,105,Director 13,"Actor 1, Actor 2, Actor 3",Japan,Spanish,7.3,391048,False,7302742,Premium,Movie,2020-10-05 11:45:47.008203,2024-08-13 11:45:47.151953,213,User_13,"France, India",2025-06-26 11:45:47.258950,Evergreen
Title 14,Action,1986,97,Director 14,"Actor 1, Actor 2, Actor 3",UK,Japanese,3.3,18444,True,2420846,Basic,TV Show,2021-01-10 11:45:47.008203,2024-01-02 11:45:47.151953,223,User_14,"India, UK",2025-08-18 11:45:47.258950,Trending
Title 15,Thriller,1952,163,Director 15,"Actor 1, Actor 2, Actor 3",France,English,6.3,945826,True,4318765,Basic,Movie,2020-01-10 11:45:47.008203,2024-07-19 11:45:47.151953,191,User_15,"USA, Canada",2024-12-17 11:45:47.258950,Trending
Title 16,Comedy,2002,170,Director 16,"Actor 1, Actor 2, Actor 3",Japan,French,8.4,336354,True,30955,Premium,TV Show,2022-05-26 11:45:47.008203,2023-12-29 11:45:47.151953,164,User_16,"USA, Canada",2025-09-09 11:45:47.258950,Moderate Viewership
Title 17,Comedy,1967,145,Director 17,"Actor 1, Actor 2, Actor 3",Australia,Spanish,5.0,241437,False,754149,Premium,TV Show,2021-04-02 11:45:47.008203,2023-10-11 11:45:47.152974,103,User_17,"Australia, Japan",2024-12-12 11:45:47.258950,High Viewership
Title 18,Drama,1996,63,Director 18,"Actor 1, Actor 2, Actor 3",Australia,Japanese,9.8,179704,False,295674,Premium,TV Show,2023-07-16 11:45:47.008203,2023-11-21 11:45:47.152974,181,User_18,"India, Germany",2025-08-23 11:45:47.258950,Moderate Viewership
Title 19,Action,1973,121,Director 19,"Actor 1, Actor 2, Actor 3",Australia,French,6.9,360652,False,2853690,Premium,TV Show,2019-10-22 11:45:47.008203,2024-07-22 11:45:47.152974,227,User_19,"Japan, India",2025-02-11 11:45:47.258950,Trending
Title 20,Horror,2007,82,Director 20,"Actor 1, Actor 2, Actor 3",Canada,Korean,9.9,488545,True,4592577,Basic,TV Show,2019-12-13 11:45:47.008203,2024-07-20 11:45:47.152974,94,User_20,"Japan, Japan",2025-07-10 11:45:47.258950,Trending
Title 21,Horror,2023,168,Director 21,"Actor 1, Actor 2, Actor 3",France,German,2.6,149848,True,7518758,Basic,TV Show,2024-04-19 11:45:47.008203,2024-08-21 11:45:47.152974,16,User_21,"Japan, Canada",2025-04-11 11:45:47.258950,Evergreen
Title 22,Thriller,1980,122,Director 22,"Actor 1, Actor 2, Actor 3",UK,German,6.2,202282,False,1382391,Basic,TV Show,2021-08-04 11:45:47.008203,2024-08-28 11:45:47.152974,85,User_22,"Germany, Canada",2025-05-15 11:45:47.258950,Trending
Title 23,Horror,2015,60,Director 23,"Actor 1, Actor 2, Actor 3",USA,Spanish,5.7,978126,False,8468864,Premium,Movie,2020-04-01 11:45:47.008203,2024-02-14 11:45:47.152974,99,User_23,"India, Australia",2024-09-24 11:45:47.259893,Evergreen
Title 24,Comedy,1966,153,Director 24,"Actor 1, Actor 2, Actor 3",India,Korean,3.6,504077,True,7025934,Premium,Movie,2024-04-12 11:45:47.008203,2023-11-29 11:45:47.152974,1,User_24,"India, UK",2025-08-02 11:45:47.259893,Evergreen
Title 25,Romance,1958,149,Director 25,"Actor 1, Actor 2, Actor 3",India,English,2.8,862991,True,3370792,Premium,TV Show,2020-06-18 11:45:47.008203,2024-04-26 11:45:47.152974,125,User_25,"France, USA",2025-08-18 11:45:47.259893,Trending
Title 26,Sci-Fi,1994,147,Director 26,"Actor 1, Actor 2, Actor 3",India,German,7.2,952262,True,8237945,Premium,Movie,2023-08-12 11:45:47.009525,2024-08-02 11:45:47.153971,73,User_26,"Australia, Japan",2025-01-09 11:45:47.259893,Evergreen
Title 27,Drama,1974,80,Director 27,"Actor 1, Actor 2, Actor 3",India,Japanese,1.5,714749,False,1629414,Premium,Movie,2021-12-22 11:45:47.009525,2023-10-03 11:45:47.153971,270,User_27,"France, France",2025-04-19 11:45:47.259893,Trending
Title 28,Documentary,1998,136,Director 28,"Actor 1, Actor 2, Actor 3",Canada,English,3.7,688066,True,1191529,Premium,Movie,2023-04-18 11:45:47.009525,2024-06-17 11:45:47.153971,117,User_28,"Canada, USA",2025-08-19 11:45:47.259893,Trending
Title 29,Sci-Fi,2019,160,Director 29,"Actor 1, Actor 2, Actor 3",UK,Japanese,3.2,381124,True,409230,Premium,TV Show,2022-03-12 11:45:47.009525,2023-12-12 11:45:47.153971,79,User_29,"Australia, Germany",2025-06-11 11:45:47.259893,Moderate Viewership
Title 30,Sci-Fi,1977,82,Director 30,"Actor 1, Actor 2, Actor 3",Canada,Hindi,1.0,261453,True,944979,Premium,Movie,2024-05-20 11:45:47.009525,2024-02-12 11:45:47.153971,262,User_30,"Canada, Canada",2025-05-03 11:45:47.259893,High Viewership
Title 31,Sci-Fi,2009,123,Director 31,"Actor 1, Actor 2, Actor 3",Japan,Japanese,4.4,58722,False,8118439,Premium,Movie,2022-12-23 11:45:47.009525,2024-07-02 11:45:47.153971,188,User_31,"Canada, USA",2024-12-18 11:45:47.259893,Evergreen
Title 32,Drama,1958,67,Director 32,"Actor 1, Actor 2, Actor 3",India,Japanese,2.9,409097,True,9412994,Basic,Movie,2022-06-28 11:45:47.009525,2024-07-31 11:45:47.153971,263,User_32,"Japan, Australia",2025-01-25 11:45:47.259893,Evergreen
Title 33,Romance,1998,90,Director 33,"Actor 1, Actor 2, Actor 3",India,Korean,7.0,601471,True,9924400,Basic,TV Show,2021-12-30 11:45:47.009525,2024-02-27 11:45:47.153971,95,User_33,"Japan, USA",2024-10-27 11:45:47.259893,Evergreen
Title 34,Romance,2008,178,Director 34,"Actor 1, Actor 2, Actor 3",Australia,German,4.9,590517,True,7372607,Basic,Movie,2020-04-17 11:45:47.009525,2024-06-01 11:45:47.153971,44,User_34,"Germany, UK",2025-03-05 11:45:47.259893,Evergreen
Title 35,Comedy,2017,165,Director 35,"Actor 1, Actor 2, Actor 3",Canada,French,8.2,855878,False,4254624,Premium,Movie,2023-03-07 11:45:47.010525,2023-09-19 11:45:47.153971,66,User_35,"India, India",2025-09-02 11:45:47.259893,Trending
Title 36,Sci-Fi,1951,178,Director 36,"Actor 1, Actor 2, Actor 3",Japan,German,2.4,9285,False,6046836,Basic,Movie,2020-11-20 11:45:47.010873,2023-10-30 11:45:47.155077,179,User_36,"UK, Japan",2025-09-11 11:45:47.259893,Evergreen
Title 37,Documentary,2014,103,Director 37,"Actor 1, Actor 2, Actor 3",UK,Japanese,7.9,938273,True,1149800,Premium,TV Show,2020-09-30 11:45:47.010873,2024-07-31 11:45:47.156668,119,User_37,"Australia, France",2024-10-19 11:45:47.259893,Trending
Title 38,Sci-Fi,1997,101,Director 38,"Actor 1, Actor 2, Actor 3",USA,Spanish,8.8,581525,False,9747291,Basic,TV Show,2023-03-02 11:45:47.010873,2024-03-12 11:45:47.156668,122,User_38,"Japan, Canada",2025-06-11 11:45:47.259893,Evergreen
Title 39,Thriller,1963,92,Director 39,"Actor 1, Actor 2, Actor 3",Australia,Japanese,8.7,672555,False,7467030,Premium,TV Show,2022-03-29 11:45:47.010873,2023-09-27 11:45:47.156668,123,User_39,"Australia, Germany",2025-06-17 11:45:47.259893,Evergreen
Title 40,Action,2006,79,Director 40,"Actor 1, Actor 2, Actor 3",Germany,Hindi,4.6,502379,True,5806657,Basic,TV Show,2020-05-13 11:45:47.010873,2024-06-01 11:45:47.157645,52,User_40,"Australia, India",2025-03-25 11:45:47.260890,Evergreen
Title 41,Documentary,1995,165,Director 41,"Actor 1, Actor 2, Actor 3",Germany,French,2.7,241818,True,6500586,Basic,TV Show,2022-04-15 11:45:47.010873,2024-03-28 11:45:47.157645,219,User_41,"France, Germany",2025-02-26 11:45:47.260890,Evergreen
Title 42,Drama,1994,103,Director 42,"Actor 1, Actor 2, Actor 3",France,French,6.2,341860,True,4522896,Premium,TV Show,2020-02-07 11:45:47.010873,2024-07-21 11:45:47.157645,214,User_42,"Japan, Japan",2025-05-15 11:45:47.260890,Trending
Title 43,Romance,1963,126,Director 43,"Actor 1, Actor 2, Actor 3",France,English,3.5,390631,True,5614264,Basic,TV Show,2020-01-20 11:45:47.011883,2023-12-21 11:45:47.157645,185,User_43,"India, Germany",2025-02-21 11:45:47.260890,Evergreen
Title 44,Sci-Fi,2005,63,Director 44,"Actor 1, Actor 2, Actor 3",India,Japanese,3.9,113092,False,4462761,Premium,Movie,2022-06-18 11:45:47.011883,2024-05-30 11:45:47.157645,299,User_44,"France, USA",2025-01-07 11:45:47.260890,Trending
Title 45,Romance,1995,134,Director 45,"Actor 1, Actor 2, Actor 3",Germany,Spanish,3.1,467456,True,3665379,Basic,Movie,2022-02-27 11:45:47.011883,2024-01-09 11:45:47.157645,253,User_45,"USA, France",2025-07-21 11:45:47.260890,Trending
Title 46,Action,1993,138,Director 46,"Actor 1, Actor 2, Actor 3",Canada,Spanish,1.0,451876,False,4457950,Basic,Movie,2020-12-26 11:45:47.011883,2023-12-12 11:45:47.157645,212,User_46,"India, USA",2025-07-04 11:45:47.260890,Trending
Title 47,Romance,1959,175,Director 47,"Actor 1, Actor 2, Actor 3",USA,German,9.4,245590,True,3366647,Basic,Movie,2020-02-17 11:45:47.011883,2023-12-22 11:45:47.157645,299,User_47,"UK, Australia",2025-01-30 11:45:47.260890,Trending
Title 48,Thriller,1961,121,Director 48,"Actor 1, Actor 2, Actor 3",Canada,Hindi,5.7,697098,True,7811583,Premium,Movie,2022-10-28 11:45:47.011883,2024-08-23 11:45:47.158643,141,User_48,"Australia, Australia",2025-07-15 11:45:47.260890,Evergreen
Title 49,Action,2024,71,Director 49,"Actor 1, Actor 2, Actor 3",Japan,French,9.9,482301,True,926895,Premium,Movie,2022-06-17 11:45:47.012866,2024-08-11 11:45:47.158643,112,User_49,"UK, Canada",2025-05-11 11:45:47.260890,High Viewership
